date,on_t0,on,1w,2w,3w,1m,3m,6m,1y
2026-08-12,1,1,1,1,1,1.003,1.108,1.183,1.274
2026-08-13,1,1,1,1,1,1.001,1.113,1.193,1.298
2026-08-14,1,1,1,1,1,1.002,1.117,1.197,1.309
2026-08-17,1,1,1,1,1,1.001,1.131,1.2,1.318
2026-08-18,0.999,1,1,1,1,1.001,1.137,1.203,1.322
2026-08-19,1,1,1,1,1,1.002,1.143,1.206,1.344
2026-08-20,1,1,1,1,1,1.001,1.148,1.216,1.377
2026-08-21,1,1,1,1,1,1.002,1.15,1.222,1.401
2026-08-24,1,1,1,1,1,1.006,1.154,1.229,1.412
2026-08-25,1,1,1,1,1,1.013,1.16,1.238,1.42
2026-08-26,0.999,1,1,1,1,1.023,1.167,1.247,1.427
2026-08-27,1,1,1,1,1,1.032,1.173,1.253,1.436
2026-08-28,1,1,1,1,1,1.044,1.18,1.256,1.442
2026-08-31,1,1,1,1,1,1.05,1.184,1.26,1.449
2026-09-01,0.999,1,1,1,1,1.061,1.19,1.266,1.456
2026-09-02,1,1,1,1,1.001,1.074,1.197,1.271,1.468
2026-09-03,1,1,1,1,1.005,1.083,1.206,1.285,1.487
2026-09-04,1,1,1,1,1.029,1.1,1.212,1.301,1.496
2026-09-07,0.999,1,1,1,1.046,1.113,1.222,1.312,1.502
2026-09-08,1,1,1,1,1.062,1.126,1.234,1.324,1.51
