date,tenor,offered_100m,competitive_bids,accepted,bid_to_cover,highest_accepted_yield
1988-07-21,20y,5000.0,6882.0,5091.0,1.352,5.437
1988-10-13,2y,2000.0,5150.0,2190.0,2.352,4.27
1988-11-01,20y,4000.0,10828.0,4254.0,2.545,5.056
1988-11-08,2y,2000.0,4189.0,2217.0,1.889,4.168
1988-12-06,2y,2000.0,4274.0,2051.0,2.084,4.028
1989-02-01,20y,4000.0,9186.0,4107.0,2.237,5.028
1989-02-07,2y,2000.0,3746.0,2129.0,1.76,4.015
1989-03-07,2y,2000.0,3336.0,2173.0,1.535,4.497
1989-04-05,10y,10000.0,20862.0,3899.5,5.35,4.813
1989-04-26,10y,7000.0,12254.0,2750.7,4.455,4.837
1989-05-11,20y,4000.0,5251.0,4073.0,1.289,5.171
1989-06-01,10y,5000.0,5773.0,1964.2,2.939,5.088
1989-06-28,10y,6000.0,6755.0,2361.2,2.861,5.174
1989-07-05,2y,2000.0,5357.0,2011.0,2.664,4.905
1989-07-27,10y,6000.0,10458.0,2360.2,4.431,4.919
1989-08-01,20y,5000.0,8032.0,5032.0,1.596,5.028
1989-08-02,2y,2000.0,5161.0,2069.0,2.494,4.829
1989-08-24,10y,6000.0,10907.0,2361.3,4.619,4.894
1989-08-29,2y,2000.0,5007.0,2040.0,2.454,4.817
1989-09-28,10y,5000.0,6242.0,1967.7,3.172,5.099
1989-10-25,10y,5000.0,6321.0,1969.1,3.21,5.163
1989-10-31,2y,2000.0,2958.0,2024.0,1.461,5.071
1989-11-29,10y,5000.0,7284.0,1969.4,3.699,5.306
1989-12-05,2y,2000.0,3484.0,2007.0,1.736,5.276
1990-01-10,10y,5000.0,7179.0,1973.4,3.638,6.095
1990-01-24,2y,2000.0,2835.0,1989.0,1.425,6.307
1990-01-30,10y,6000.0,17103.0,2368.7,7.22,6.172
1990-02-28,10y,6000.0,11584.0,2369.8,4.888,6.401
